,שם חברה,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,כתובת רחוב,,ט:,מספר טלפון,,,דואר אלקטרוני,,,,,,,
,עיר מיקוד,,פ:,מספר פקס,,,אתר אינטרנט,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,לחיוב:,צעצועי טיילספין ,,,טלפון:,432-555-0178,,,,מס' חשבונית:,3-456-1,,,
,כתובת:,רחוב הדובדבנים 345,,,פקס:,432-555-0187,,,,תאריך חשבונית:,18/07/2016,,,
,,רמת גן 123456,,,דואר אלקטרוני:,someone@example.com,,,,,,,,
,,,,,,,,,,,,,,
,חשבונית עבור: פרוייקט 1,,,,,,,,,,,,,
, מס' פריט  ,תיאור,,,,, כמות  , מחיר יחידה  ,, הנחה  , מחיר  ,,,
, 1, חשבונית 3-456-1 נתונים 1  ,,,,,1 , ₪ 1.00 ,, ₪ 1.00 , ₪ -   ,,,
, 2, חשבונית 3-456-1 נתונים 2  ,,,,,2 , 2.00 ,, 2.00 , 2.00 ,,,
, 3, חשבונית 3-456-1 נתונים 3  ,,,,,3 , 3.00 ,, 3.00 , 6.00 ,,,
, 4, חשבונית 3-456-1 נתונים 4  ,,,,,4 , 4.00 ,, 4.00 , 12.00 ,,,
, 5, חשבונית 3-456-1 נתונים 5  ,,,,,5 , 5.00 ,, 5.00 , 20.00 ,,,
, 6, חשבונית 3-456-1 נתונים 6  ,,,,,6 , 6.00 ,, 6.00 , 30.00 ,,,
, 7, חשבונית 3-456-1 נתונים 7  ,,,,,7 , 7.00 ,, 7.00 , 42.00 ,,,
, 8, חשבונית 3-456-1 נתונים 8  ,,,,,8 , 8.00 ,, 8.00 , 56.00 ,,,
, 9, חשבונית 3-456-1 נתונים 9  ,,,,,9 , 9.00 ,, 9.00 , 72.00 ,,,
, 10, חשבונית 3-456-1 נתונים 10  ,,,,,10 , 10.00 ,, 10.00 , 90.00 ,,,
, 12, חשבונית 3-456-1 נתונים 12  ,,,,,12 , 12.00 ,, 12.00 , 132.00 ,,,
, 13, חשבונית 3-456-1 נתונים 13  ,,,,,13 , 13.00 ,, 13.00 , 156.00 ,,,
, 14, חשבונית 3-456-1 נתונים 14  ,,,,,14 , 14.00 ,, 14.00 , 182.00 ,,,
, 15, חשבונית 3-456-1 נתונים 15  ,,,,,15 , 15.00 ,, 15.00 , 210.00 ,,,
, 16, חשבונית 3-456-1 נתונים 16  ,,,,,16 , 16.00 ,, 16.00 , 240.00 ,,,
, 17, חשבונית 3-456-1 נתונים 17  ,,,,,17 , 17.00 ,, 17.00 , 272.00 ,,,
, 18, חשבונית 3-456-1 נתונים 18  ,,,,,18 , 18.00 ,, 18.00 , 306.00 ,,,
, 19, חשבונית 3-456-1 נתונים 19  ,,,,,19 , 19.00 ,, 19.00 , 342.00 ,,,
, 20, חשבונית 3-456-1 נתונים 20  ,,,,,20 , 20.00 ,, 20.00 , 380.00 ,,,
, 21, חשבונית 3-456-1 נתונים 21  ,,,,,21 , 21.00 ,, 21.00 , 420.00 ,,,
, 22, חשבונית 3-456-1 נתונים 22  ,,,,,22 , 22.00 ,, 22.00 , 462.00 ,,,
, 23, חשבונית 3-456-1 נתונים 23  ,,,,,23 , 23.00 ,, 23.00 , 506.00 ,,,
, 24, חשבונית 3-456-1 נתונים 24  ,,,,,24 , 24.00 ,, 24.00 , 552.00 ,,,
, 25, חשבונית 3-456-1 נתונים 25  ,,,,,25 , 25.00 ,, 25.00 , 600.00 ,,,
, ,   ,,,,,,  ,,  ,  ,,,
,,,,,,,,,,סכום ביניים של חשבונית  ," ₪ 5,090.00 ",,,
,,,,,,,,,,שיעור מס  ,8.75% ,,,
,,,,,,,,,,"מע""מ  ", 445.38 ,,,
,,,,,,,,,,אחר  , 100.00 ,,,
,רשום את כל השיקים לפקודת שם חברה.,,,,,,,,,הפקדה שהתקבלה  , 100.00 ,,,
,סכום לפירעון בתוך <#> ימים. חשבונות שתאריך היעד עבורם חלף כפופים לחיוב שירות של <#>% לחודש.,,,,,,,,,"סה""כ  "," ₪ 5,535.38 ",,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
